geneSymbol logFC P.Value adj.P.Val
Gm4956 -4.21260343555906 6.27887085054872e-15 6.79337352866251e-11
Prtn3 4.41860279754852 1.12987501516216e-14 6.79337352866251e-11
Lcn2 7.59995599691187 2.35922942259706e-14 9.45657793557655e-11
Tubb6 4.33739503694787 6.72685979590042e-14 2.02226222614256e-10
Mki67 3.95817334658469 2.06980688967269e-13 4.97788556966282e-10
Hmmr 3.90072808907532 2.72517800344996e-13 5.00041223360282e-10
D17H6S56E-5 6.52259955225612 3.33408478480477e-13 5.00041223360282e-10
Tpx2 3.89897511086347 4.16031414124814e-13 5.00041223360282e-10
Elovl3 -4.84217575738176 4.69706843308314e-13 5.00041223360282e-10
Car1 -2.15137638521893 4.9170194780852e-13 5.00041223360282e-10
Ckap2l 4.19101062981107 4.96436456068919e-13 5.00041223360282e-10
Mup-ps7 -1.51099662699364 4.99001636617329e-13 5.00041223360282e-10
Cdca3 4.56672860086726 6.0502870895242e-13 5.48714404544375e-10
Foxm1 2.83795712078119 6.7662969262575e-13 5.48714404544375e-10
Tacc3 3.5788214157174 6.84467032695686e-13 5.48714404544375e-10
Plk1 4.49137334231359 8.38988121618678e-13 5.93369760226061e-10
2810007J24Rik -2.69448553588518 9.13179504735445e-13 5.93369760226061e-10
Mup-ps8 -1.80997563311869 9.45163367708298e-13 5.93369760226061e-10
Saa2 7.35946868551517 9.60283011102596e-13 5.93369760226061e-10
Aurka 4.30291529294964 1.00307246826168e-12 5.93369760226061e-10
Fgl1 3.66725377346988 1.06870834577902e-12 5.93369760226061e-10
Cdkn3 4.03478525887446 1.1103143215005e-12 5.93369760226061e-10
Top2a 3.756895290129 1.13492760791679e-12 5.93369760226061e-10
Prg4 3.02393101117154 1.49597662239372e-12 7.24207991960894e-10
Ces3b -2.46275450105198 1.50562992091662e-12 7.24207991960894e-10
Kif11 3.18156137149377 1.61272479876204e-12 7.45885219427444e-10
Ccnb2 4.77986199846494 1.70779890342317e-12 7.60603030135689e-10
Arhgap11a 3.00663648395262 2.1685018589376e-12 9.31294101918735e-10
Ccna2 4.21754471021174 2.44164964117113e-12 9.79830441319249e-10
Kif4 2.48762986588587 2.44448342948669e-12 9.79830441319249e-10
Smc4 3.12307119843014 2.95625378858456e-12 1.14663169773288e-09
Bub1b 2.6112811808387 3.1015344139081e-12 1.14663169773288e-09
4930427A07Rik 1.96111273257011 3.19823951411431e-12 1.14663169773288e-09
Gm13773 -2.57304048820611 3.24203556947341e-12 1.14663169773288e-09
Ccnb1 4.21647757924375 3.53059714585414e-12 1.21301230511131e-09
Smc2 2.90459015921881 3.68677720679579e-12 1.23148599754776e-09
Nuf2 3.72477104764243 3.88382155116871e-12 1.26224200412983e-09
Racgap1 3.05677320321452 4.18468357212012e-12 1.30524781984791e-09
Cyb561 2.35304701390243 4.24214390955714e-12 1.30524781984791e-09
Cdk1 4.53866960478237 4.44626572062172e-12 1.30524781984791e-09
Plk4 2.11295063387838 4.45032520696586e-12 1.30524781984791e-09
Prc1 3.52023046073963 4.5630660768861e-12 1.30644927558465e-09
Birc5 3.64933265971601 5.14980561232916e-12 1.41916185181944e-09
Ube2c 4.78275898474912 5.19942971153437e-12 1.41916185181944e-09
Diap3 2.49236479508534 5.33977113785795e-12 1.41916185181944e-09
Nusap1 3.63038746862242 5.52983693431947e-12 1.41916185181944e-09
Sgol1 1.91710123513736 5.54682802790135e-12 1.41916185181944e-09
Anln 3.09830658506718 5.67229158601487e-12 1.4210272150381e-09
Cdca2 2.64075802239044 6.17222412684797e-12 1.51471418623157e-09
Cdc25c 2.50451723186552 6.42262771326569e-12 1.5446419650404e-09
9530077C05Rik 2.02642354786981 6.7196972131326e-12 1.58015722856417e-09
Hpx 2.45758186885089 6.83311233973694e-12 1.58015722856417e-09
Incenp 3.21682179393524 6.98001850370119e-12 1.58367400956617e-09
Ttc39a 1.16096933495025 7.5291524116035e-12 1.64777330572967e-09
Nek2 3.6006019213984 7.53659308233945e-12 1.64777330572967e-09
Kif22 3.78875564935797 7.93320705111626e-12 1.70351454981559e-09
